case_type,image,label,source_image,source_label,box_count
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0000_kaggle_drone_object_detection_train_video18_2078.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0000_kaggle_drone_object_detection_train_video18_2078.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video18_2078.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video18_2078.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0001_kaggle_drone_object_detection_train_video18_2390.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0001_kaggle_drone_object_detection_train_video18_2390.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video18_2390.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video18_2390.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0002_kaggle_drone_object_detection_train_video14_101.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0002_kaggle_drone_object_detection_train_video14_101.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video14_101.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video14_101.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0003_kaggle_drone_object_detection_train_video17_958.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0003_kaggle_drone_object_detection_train_video17_958.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video17_958.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video17_958.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0004_kaggle_drone_object_detection_train_video18_1455.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0004_kaggle_drone_object_detection_train_video18_1455.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video18_1455.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video18_1455.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0005_kaggle_drone_object_detection_train_video18_1746.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0005_kaggle_drone_object_detection_train_video18_1746.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video18_1746.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video18_1746.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0006_kaggle_drone_object_detection_train_video1342.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0006_kaggle_drone_object_detection_train_video1342.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video1342.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video1342.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0007_kaggle_drone_object_detection_train_video18_1449.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0007_kaggle_drone_object_detection_train_video18_1449.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video18_1449.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video18_1449.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0008_kaggle_drone_object_detection_train_video16_476.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0008_kaggle_drone_object_detection_train_video16_476.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video16_476.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video16_476.txt,1
near_zoom,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_hard/near_zoom_0009_kaggle_drone_object_detection_train_video17_1118.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/labels/train_hard/near_zoom_0009_kaggle_drone_object_detection_train_video17_1118.txt,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/images/train/kaggle_drone_object_detection_train_video17_1118.jpeg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/labels/train/kaggle_drone_object_detection_train_video17_1118.txt,1
