image_path,source_video,label_policy,notes
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000005.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000022.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000040.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000057.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000074.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000091.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000109.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000126.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000143.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/images/train_public_neg/neg_v_bird_001_f000161.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public/Drone-detection-dataset/Data/Video_V/V_BIRD_001.mp4,empty_label_hard_negative,non-drone public-video frame; safe to train with empty YOLO label
