image_path,source_video,label_policy,notes
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000005.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000120.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000236.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000351.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000467.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000582.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000698.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000813.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f000929.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class_hard_v2/review/public_positive_candidates/images/review_video01_f001044.jpg,C:/Users/Tony/Desktop/eclipse-workspace-codex/eclipse-workspace/Thesis Project/datasets/drone_single_class/raw_sources/public_videos/dut-anti-uav/videos/video01.mp4,manual_review_required,raw/public positive candidate; draw correct drone box before training
